1 metro;3 metros;5 metros;7 metros;9 metros;11 metros;13 metros;15 metros;17 metros;19 metros
-70;-76;-84;-79;-84;-87;-91;-96;-90;-92
-67;-75;-82;-81;-85;-86;-90;-94;-93;-94
-68;-76;-83;-82;-84;-89;-92;-98;-89;-92
-69;-75;-85;-82;-85;-88;-91;-95;-89;-10
-69;-76;-83;-81;-83;-88;-90;-95;-88;-98
-68;-75;-84;-79;-84;-88;-91;-96;-88;-10
-69;-76;-86;-82;-84;-88;-89;-99;-90;-98
-69;-76;-85;-82;-84;-88;-88;-10;-90;-96
-74;-76;-84;-83;-84;-88;-90;-95;-91;-95
-74;-76;-83;-83;-85;-89;-89;-92;-92;-99
-71;-75;-84;-81;-83;-89;-90;-95;-94;-96
-73;-76;-85;-82;-84;-88;-90;-95;-91;-93
-73;-75;-84;-82;-84;-87;-90;-93;-91;-96
-69;-76;-85;-82;-85;-88;-88;-94;-90;-93
-70;-76;-84;-81;-83;-89;-89;-96;-89;-95
-67;-76;-84;-83;-84;-88;-89;-96;-91;-94
-68;-76;-83;-83;-84;-88;-89;-96;-90;-94
-69;-76;-85;-83;-83;-88;-89;-95;-90;-93
-68;-75;-86;-84;-84;-89;-90;-94;-89;-95
-68;-76;-86;-83;-85;-89;-89;-94;-88;-94
-71;-76;-85;-83;-84;-89;-90;-94;-88;-95
-70;-75;-84;-82;-83;-87;-89;-95;-90;-95
-69;-76;-86;-82;-85;-88;-91;-95;-89;-94
-67;-75;-85;-82;-86;-88;-90;-95;-89;-96
-67;-75;-86;-83;-84;-88;-90;-95;-90;-98
-66;-75;-88;-83;-86;-88;-90;-96;-91;-96
-67;-76;-87;-82;-86;-88;-91;-95;-92;-96
-67;-75;-89;-82;-84;-89;-91;-96;-91;-96
-66;-75;-88;-83;-84;-88;-90;-95;-90;-96
-67;-76;-88;-82;-86;-88;-90;-95;-91;-98
-67;-76;-88;-82;-83;-88;-90;-96;-91;-95
-67;-75;-88;-82;-84;-88;-90;-98;-90;-96
-65;-75;-88;-82;-84;-89;-90;-98;-89;-96
-66;-74;-88;-82;-84;-89;-90;-93;-90;-96
-65;-75;-87;-82;-84;-88;-90;-93;-90;-95
-66;-76;-86;-83;-84;-89;-89;-92;-92;-94
-71;-76;-86;-83;-85;-88;-90;-93;-90;-94
-67;-77;-87;-83;-85;-88;-89;-95;-92;-93
-66;-77;-85;-83;-84;-88;-89;-95;-90;-94
-67;-76;-85;-83;-85;-88;-90;-95;-90;-93
-67;-77;-84;-82;-85;-88;-91;-95;-90;-92
-68;-77;-87;-82;-84;-87;-90;-96;-90;-96
-67;-76;-84;-82;-84;-87;-90;-96;-92;-95
-67;-76;-83;-81;-85;-88;-89;-10;-90;-96
-68;-76;-86;-83;-85;-88;-91;-98;-92;-93
-67;-77;-84;-83;-84;-88;-90;-98;-92;-95
-67;-76;-88;-83;-84;-89;-90;-10;-91;-94
-67;-76;-85;-82;-84;-88;-90;-95;-92;-96
-67;-76;-85;-82;-84;-87;-91;-98;-91;-94
-67;-76;-83;-83;-85;-87;-90;-98;-91;-10
-67;-76;-85;-82;-84;-89;-91;-10;-91;-98
-68;-77;-86;-82;-82;-87;-88;-95;-90;-98
-68;-77;-84;-83;-84;-87;-89;-95;-91;-94
-66;-76;-84;-81;-84;-88;-90;-98;-90;-95
-66;-76;-85;-81;-86;-88;-92;-94;-90;-93
-69;-76;-85;-83;-84;-88;-89;-96;-89;-94
-65;-76;-84;-82;-85;-87;-89;-93;-90;-94
-65;-76;-85;-82;-85;-88;-89;-93;-90;-95
-65;-75;-87;-81;-86;-88;-89;-93;-90;-96
-65;-74;-86;-81;-86;-87;-88;-96;-92;-96
-72;-76;-84;-79;-86;-89;-89;-95;-92;-94
-67;-74;-87;-81;-86;-88;-88;-93;-92;-98
-67;-75;-85;-82;-86;-87;-90;-93;-92;-95
-67;-78;-86;-82;-85;-87;-91;-95;-90;-95
-67;-78;-85;-81;-86;-89;-91;-95;-92;-93
-67;-78;-85;-82;-85;-89;-93;-95;-89;-92
-68;-76;-84;-81;-84;-88;-91;-96;-92;-94
-69;-77;-83;-79;-85;-89;-88;-94;-90;-98
-66;-74;-84;-81;-85;-89;-90;-92;-91;-94
-65;-75;-87;-81;-87;-88;-89;-96;-92;-92
-66;-76;-84;-82;-86;-87;-89;-95;-90;-94
-68;-77;-85;-79;-85;-89;-90;-98;-91;-94
-67;-76;-84;-79;-86;-86;-90;-95;-91;-93
-68;-76;-84;-78;-86;-88;-90;-94;-91;-93
