1 Metro;2 Metro;4 Metro;6 Metro;8 Metro;10 Metro;12 Metro;14 Metro;16 Metro;18 Metro;20 Metro;30 Metro;40 Metro;50 Metro;60 Metro;70 Metro;80 Metro;90 Metro;100 Metro
-67;-69;-74;-74;-90;-82;-81;-83;-85;-86;-87;-90;-94;-91;-106;-94;-93;-93;-96
-69;-68;-71;-74;-83;-83;-79;-83;-86;-86;-92;-89;-95;-94;-102;-93;-95;-93;-93
-69;-68;-71;-75;-82;-83;-82;-83;-86;-87;-90;-90;-94;-94;-101;-94;-94;-94;-93
-70;-67;-71;-75;-82;-87;-82;-83;-85;-87;-91;-90;-93;-95;-104;-92;-95;-92;-93
-69;-66;-70;-74;-83;-83;-78;-82;-86;-87;-93;-90;-94;-94;-103;-93;-94;-91;-93
-70;-66;-71;-73;-83;-85;-81;-83;-85;-86;-92;-91;-98;-94;-103;-93;-94;-92;-94
-68;-67;-71;-75;-82;-85;-77;-83;-85;-87;-91;-90;-99;-94;-102;-93;-96;-92;-94
-69;-67;-72;-75;-82;-85;-78;-83;-86;-86;-91;-91;-102;-95;-104;-93;-95;-92;-94
-68;-67;-72;-74;-82;-83;-79;-82;-86;-85;-89;-91;-100;-95;-104;-93;-94;-93;-94
-67;-67;-72;-74;-83;-83;-79;-81;-84;-87;-90;-91;-101;-94;-103;-93;-93;-93;-95
-67;-66;-72;-73;-82;-84;-77;-83;-86;-86;-90;-90;-104;-91;-103;-91;-93;-93;-94
-67;-67;-71;-73;-82;-83;-75;-82;-85;-87;-90;-90;-100;-92;-102;-93;-92;-93;-93
-67;-67;-70;-71;-81;-83;-75;-81;-84;-85;-90;-88;-98;-93;-102;-92;-92;-92;-94
-67;-65;-70;-72;-81;-83;-77;-83;-85;-86;-93;-90;-98;-94;-101;-92;-93;-93;-92
-67;-66;-72;-72;-82;-82;-77;-83;-85;-87;-94;-90;-96;-94;-101;-92;-95;-92;-94
-67;-65;-71;-73;-83;-83;-75;-81;-84;-87;-91;-89;-94;-93;-99;-91;-94;-93;-93
-68;-65;-71;-71;-82;-83;-78;-83;-85;-87;-87;-89;-95;-93;-101;-92;-94;-93;-95
-68;-66;-70;-72;-82;-85;-81;-83;-86;-87;-88;-88;-95;-92;-100;-92;-94;-91;-93
-69;-68;-72;-73;-82;-84;-78;-83;-85;-87;-88;-89;-99;-92;-102;-93;-94;-93;-93
-69;-67;-72;-72;-81;-84;-76;-82;-85;-87;-89;-89;-96;-92;-105;-93;-94;-93;-95
